surname,name,phone,description
Печкин,Игорь,909-11-11,изменено
Николаева,Светлана,123-34-234,
Сергеенко,Елизавета,666-66-777,звони
Егорова,Анна,666-966-666,звони
Книгина,Анна,666-66-777,не может
Семенова,Елена,234-44-113,
Печкин,Игорь,909-11-11,изменено
Печкин,Игорь,909-11-11,изменено
Печкин,Игорь,909-11-11,изменено
Печкин,Игорь,909-11-11,изменено
Сергеенко,Анна,666-66-666,звони
Сергеенко,Анна,666-66-666,звони
Печкин,Игорь,909-11-11,изменено
Свечкин,Илья,911,служба спасения
да,нет,может быть,еще кто-нибудь
да,нет,может быть,еще кто-нибудь
